Date,Close/Last,Volume,Open,High,Low
11/03/2020,$48.58,427090,$48.41,$49,$47.5
11/02/2020,$47.08,621055,$50,$51,$46.5
10/30/2020,$48.78,272083,$50.05,$50.35,$47.79
10/29/2020,$49.6,300893,$48.99,$50.59,$48.33
10/28/2020,$46.76,272944,$47.47,$48.46,$46.1211
10/27/2020,$49.89,243497,$49.11,$50.4,$48.92
10/26/2020,$48.66,529172,$50.8,$51.3,$47
10/23/2020,$50.03,688768,$51.881,$52.89,$49.5
10/22/2020,$49.07,365435,$49.56,$50.5,$47.88
10/21/2020,$49.13,456554,$52.34,$53.13,$48.11
10/20/2020,$52.87,211374,$52.9,$53.59,$52.2
10/19/2020,$53.5,304587,$53.8,$54.8,$52.25
10/16/2020,$52.44,220463,$53.25,$53.65,$51.1
10/15/2020,$52,246779,$51.5,$53.19,$51.31
10/14/2020,$53.92,213807,$54.23,$55.4,$53.5
10/13/2020,$54.39,279225,$53.51,$55.35,$53.5
10/12/2020,$54.44,350036,$54.77,$55.72,$53.6
10/09/2020,$54.2,385736,$55.71,$56.29,$52.92
10/08/2020,$55.42,326474,$56.57,$56.7,$55.05
10/07/2020,$56.46,576502,$53.76,$56.54,$52.52
10/06/2020,$53.96,810915,$52.55,$55.0999,$52.1
10/05/2020,$50.5,554458,$48.7,$50.6,$48.4576
10/02/2020,$47.49,431942,$47.01,$47.88,$46.42
10/01/2020,$47.09,550097,$48.48,$48.7,$46.76
09/30/2020,$46.55,823213,$49,$49.83,$46.4
09/29/2020,$45.68,327661,$46.26,$46.9,$45.01
09/28/2020,$45.76,455273,$44.45,$48,$44.45
09/25/2020,$44.05,484675,$44.2,$45.8,$43.3
09/24/2020,$43.8,619533,$45.14,$45.8,$43
09/23/2020,$47.63,384953,$49.81,$50.4195,$47.21
09/22/2020,$50,223890,$50.25,$50.56,$49.79
09/21/2020,$50.08,332296,$50,$50.14,$48.01
09/18/2020,$52.09,471019,$52.13,$53.28,$51.66
09/17/2020,$52.9,333064,$52.75,$53.13,$51.62
09/16/2020,$53.98,421420,$53.94,$54.6,$53.2
09/15/2020,$53.86,415171,$54.35,$54.3999,$52.68
09/14/2020,$53.13,630240,$53.33,$54.82,$52.695
09/11/2020,$52.68,726144,$54.96,$55.378,$51.25
09/10/2020,$54.74,851638,$55.58,$56.5499,$54.02
09/09/2020,$55.21,916382,$58.2,$58.5,$55.1
09/08/2020,$56.91,1412008,$60.5,$60.5,$56.52
09/04/2020,$63.45,1862241,$60.248,$64.18,$57.05
09/03/2020,$56.92,904539,$58.99,$59,$56.1008
09/02/2020,$58.46,1656251,$59.6,$59.76,$55.12
09/01/2020,$56.85,1123401,$56.81,$57.44,$54.14
08/31/2020,$55.08,1227637,$60.625,$60.75,$55.08
08/28/2020,$59.15,990943,$58,$60.4399,$56.85
08/27/2020,$57.71,982910,$59.5,$59.9,$56
08/26/2020,$59.5,1005169,$61.35,$62.3,$58.75
08/25/2020,$63.25,819684,$60.66,$63.41,$59.22
08/24/2020,$62.65,1985412,$68.97,$69,$59.1
08/21/2020,$67.2,2625442,$66.9079,$69.7396,$63.36
08/20/2020,$66,7037592,$63,$66.89,$60.7
08/19/2020,$56.9,5240464,$67.705,$67.99,$55.05
08/18/2020,$65.7,4106050,$72.417,$73.05,$65.09
08/17/2020,$77.2,14222900,$84.4,$85,$67.12
08/14/2020,$55.9,23677710,$44,$56,$36.15
